time,school,rate,student,全国统一卷,全国新课标一卷,全国新课标二卷,北京卷,上海卷,江苏卷,广东卷,山东卷,湖北卷
2015,2553,0.743,940,,“女儿举报父亲”根据材料给女儿或父亲或其他相关方写一封信,根据材料中三个人物评价谁更具风采,深入灵魂的热爱,"
和谐的自我
  ",根据有关“智慧”的材料写作,感知自然,丝瓜藤和肉豆须,喷泉与泉水
2014,2529,0.743,939,,"两人过独木桥

  ",喂食动物失觅食能力　　,老规矩,穿越沙漠和自由,什么是不朽,关于“胶片和数码时代，照片对记忆承载能力”的材料作文,窗子,关于“同一片风景的好坏”材料作文
2013,2491,0.76,912,,真诚与友善,经验与勇气,爱迪生怎么看手机,更重要的事,探险者与蝴蝶,关于“富翁与三个贫困家庭”的材料作文,“请别人挑错，可能是消除谬误的好办法”根据材料写作,方圆
2012,2442,0.75,915,,放下顾虑,船主与油漆工,火车巡逻员的故事, 曾被舍弃的微光,忧与爱,生活时代的材料作文,根据“孙中山的话”写材料作文,科技的利与弊
2011,2409,0.72,933,,期待长大,“如果你彩票中了500万，应该怎么做”根据材料写作,如何看待乒乓球赛中国夺冠,一切都会过去pk一切都不会过去,拒绝平庸,回到原点,这世界需要你,旧书
2010,2358,0.69,946,,有鱼吃还捉老鼠？漫画作文,路径,仰望星空与脚踏实地,生活中的钓鱼法则,绿色生活,与你为邻,“人生的一切变化，一切魅力，一切美都是由光明和阴影构成”根据材料写作,幻想
2009,2305,0.62,1020,,小动物学游泳材料作文,"“高中生讨论女孩求助理由可信度”根据材料写作
",我有一双隐形的翅膀,郑板桥相关材料作文,品味时尚,谈谈你生活中与“常识”有关的经历或你对“常识”的看法,见证,站在____的门口
2008,2263,0.57,1050,,根据汶川大地震中的故事写作,“鹰叼小海龟”根据材料写作,“将石头和沙子放入水杯”根据材料写作,他们,好奇心,不要轻易说“不”,春来草自青,举手投足之间
2007,1908,0.56,1010,,摔跤,帮助,对春夜喜雨的不同评论,必须跨过这道坎,怀想天空,传递,时间不会使记忆风化,母语
2006,1867,0.57,950,,”鹰抓了羊，被乌鸦看到，乌鸦学鹰抓羊，结果能力不够，被牧羊人抓了。”根据材料写作。,书,北京的符号,"我想握着你的手
",人与路,雕刻心中的天使,根据有关星星的诗写作,根据与“三”有关的词语写作
2005,1792,0.57,877,,出乎意料和与情理之中,忘记与铭记,安,文化生活三个镜头的影响,话题作文凤头猪肚豹尾,纪念,双赢的智慧,根据“人间词话”写作
2004,1731,0.61,729,,相信自己与听取别人的意见,快乐幸福与我们的思维方式,包容,忙,水的灵动，山的沉稳,语言与沟通,相信自己与听取别人的意见,买镜
2003,1552,0.62,613,感情亲疏和对事物的认知,,,,,,,,
2002,1396,0.63,510,心灵的选择,,,,,,,,
2001,1225,0.59,454,诚信,,,,,,,,
2000,1041,0.59,375,答案是丰富多彩的,,,,,,,,
1999,1071,0.56,288,假如记忆可以移植,,,,,,,,
1998,1022,0.34,320,《坚韧 ———我追求的品格／战胜脆弱》,,,,,,,,
1997,1020,0.36,278,根据描写背同学上学的情景，写一篇议论文,,,,,,,,
1996,1032,0.4,241,根据材料，以《我更喜欢漫 画〈〉》为题，写一篇议论文,,,,,,,,
1995,1054,0.37,253,任选寓言诗中的两种鸟，以《××与××的对话》为题写作,,,,,,,,
1994,1080,0.36,251,尝试,,,,,,,,
1993,1065,0.34,286,有关同学间补课后给予报酬请的看法,,,,,,,,
1992,1053,0.25,303,清理路旁的脏物,,,,,,,,
1991,1075,0.21,296,就“近墨者黑”或“近墨者未必黑”写一篇发言稿,,,,,,,,
1990,1075,0.22,283,关于玫瑰花的好坏,,,,,,,,
1989,1079,0.23,266,给高考好友的回信,,,,,,,,
1988,1075,0.25,272,习惯,,,,,,,,
1987,1063,0.27,228,"育民小学办起了游泳训练班

　　",,,,,,,,
1986,1054,0.3,191,树木·森林·气候,,,,,,,,
1985,1016,0.35,176,给<光明日报>编辑部的信,,,,,,,,
1984,902,0.29,164,对中学生作文的看法,,,,,,,,
1983,805,0.23,167,根据漫画《这下面没有水，再换个地方挖》写说明和议论文,,,,,,,,
1982,715,0.17,187,先天下之忧而忧，后天下之乐而乐,,,,,,,,
1981,704,0.11,259,《毁树容易种树难》读后感,,,,,,,,
1980,675,0.08,333, 读《画蛋》有感,,,,,,,,
1979,633,0.06,468,陈伊玲的故事,,,,,,,,
1978,598,0.07,610,速度问题是一个政治问题,,,,,,,,
1977,404,0.05,570,我在这战斗的一年里,,,,,,,,
