rank,title,rating,box,date,type,genre
27,老炮儿,8.1,901310000,2015年12月24日,国产,Drama
34,叶问3,6.4,770280000,2016年3月4日,国产,Drama
45,猩球崛起2：黎明之战 Dawn of the Planet of the Apes,7.5,705580000,2014年8月29日,进口分账,Drama
47,狼图腾,7,699420000,2015年2月19日（2月13日18点起点映）,国产（合拍）,Drama
52,唐山大地震,7.4,673320000,2010年7月22日,国产（合拍）,Drama
55,让子弹飞,8.7,659280000,2010年12月16日,国产（合拍）,Drama
57,后会无期,7.2,629820000,2014年7月24日,国产,Drama
61,金陵十三钗,8,609230000,2011年12月15日,国产,Drama
68,少年派的奇幻漂流 Life of Pi,9,571050000,2012年11月22日,进口分账,Drama
70,杀破狼2殺破狼2,7.3,560130000,2015年6月18日,国产（合拍）,Drama
73,中国合伙人,7.7,539220000,2013年5月17日,国产（合拍）,Drama
75,警察故事2013,5.7,535910000,2013年12月24日,国产,Drama
3,速度与激情7 Furious 7,8.3,2416000000,2015年4月12日,进口分账,Action
5,寻龙诀,7.6,1680360000,2015年12月18日,国产,Action
9,复仇者联盟2：奥创纪元 Avengers: Age of Ultron,7.1,1429700000,2015年5月12日,进口分账,Action
15,美国队长3 Captain America: Civil War,7.8,1246030000,2016年5月6日,进口分账,Action
21,西游记之大闹天宫,4.2,1044670000,2014年1月31日,国产,Action
28,智取威虎山,7.7,899830000,2014年12月23日（17点起）,国产（合拍）,Action
30,碟中谍5：神秘国度 Mission: Impossible - Rogue Nation,7.7,855570000,2015年9月8日,进口分账,Action
36,X战警：天启 X-Men: Apocalypse,8.1,765590000,2016年6月3日,进口分账（上映中……）,Action
37,钢铁侠3 Iron Man 3,7.5,755400000,2013年5月1日,进口,Action
39,天将雄师,6,743550000,2015年2月19日,国产（合拍）,Action
40,X战警：逆转未来 X-Men: Days of Future Past,8.2,724680000,2014年5月23日,进口分账,Action
41,美国队长2 Captain America: The Winter Soldier,8,721650000,2014年4月4日,进口分账,Action
50,九层妖塔,4.3,681520000,2015年9月30日,国产,Action
51,碟中谍4 Mission: Impossible - Ghost Protocol,8.3,674710000,2012年1月28日,进口分账,Action
54,蚁人 Ant-Man,7.6,659700000,2015年10月16日,进口分账,Action
58,蝙蝠侠大战超人：正义黎明 Batman vs Superman: Dawn of Justice,6.6,619080000,2016年3月25日,进口分账,Action
59,末日崩塌 San Andreas,7,613450000,2015年6月2日,进口分账,Action
62,狄仁杰之神都龙王,6.6,602730000,2013年9月28日,国产,Action
64,银河护卫队 Guardians of the Galaxy,8,592970000,2014年10月10日,进口分账,Action
65,超凡蜘蛛侠2 The Amazing Spider-Man 2,7.3,590870000,2014年5月4日,进口分账,Action
69,复仇者联盟 The Avengers,8,567920000,2012年5月5日,进口分账,Action
71,龙门飞甲,6.7,555960000,2011年12月15日,国产（合拍）,Action
72,战狼,6.9,544360000,2015年4月2日,国产,Action
74,007：幽灵党 Spectre,6.2,537240000,2015年11月13日,进口分账,Action
88,王牌特工：特工学院 Kingsman: The Secret Service,8.5,484770000,2015年3月27日,进口分账,Action
97,敢死队3 The Expendables 3,6.7,447550000,2014年9月1日,进口,Action
7,疯狂动物城 Zootopia,9.2,1530260000,2016年3月4日,进口分账,Animation
22,功夫熊猫3 Kung Fu Panda 3,7.8,1001760000,2016年1月29日,国产,Animation
25,西游记之大圣归来,8.3,955250000,2015年7月10日（7月4日-5日全国点映）,国产,Animation
60,功夫熊猫2 Kung Fu Panda 2,8,613400000,2011年5月28日,进口分账,Animation
76,哆啦A梦：伴我同行 STAND BY ME ドラえもん,7.9,534110000,2015年5月28日,进口,Animation
77,超能陆战队 Big Hero 6,8.6,526680000,2015年2月28日,进口分账,Animation
82,愤怒的小鸟 The Angry Birds Movie,7.2,512500000,2016年5月20日,进口分账（上映中……）,Animation
96,冰川时代4 Ice Age: Continental Drift,8.1,449130000,2012年7月27日,进口特种,Animation
100,小黄人大眼萌 Minions,7.3,432060000,2015年9月13日,进口分账,Animation
1,美人鱼,7,3391400000,2016年2月8日,国产（合拍）,Comedy
2,捉妖记,6.9,2438170000,2015年7月16日,国产（合拍）,Comedy
6,港囧,5.8,1611830000,2015年9月25日,国产,Comedy
8,夏洛特烦恼,7.5,1449050000,2015年9月30日,国产,Comedy
13,人再囧途之泰囧,7.5,1267390000,2012年12月12日,国产,Comedy
14,西游降魔篇西遊降魔篇,7.1,1246440000,2013年2月10日,国产,Comedy
16,西游记之孙悟空三打白骨精,5.8,1200760000,2016年2月8日,国产,Comedy
17,心花路放,7,1170200000,2014年9月30日,国产,Comedy
18,煎饼侠,6.2,1159540000,2015年7月17日,国产,Comedy
19,澳门风云3 賭城風雲III,4,1117810000,2016年2月8日,国产（合拍）,Comedy
24,澳门风云2 賭城風雲II,5.7,974120000,2015年2月19日,国产（合拍）,Comedy
29,十二生肖,6.7,881100000,2012年12月20日,国产（合拍）,Comedy
32,唐人街探案,7.5,822210000,2015年12月31日（18点起）,国产,Comedy
43,私人订制,5.6,716800000,2013年12月18日22点,国产,Comedy
48,爸爸去哪儿,6.1,695900000,2014年1月31日,国产,Comedy
53,分手大师,5.1,666660000,2014年6月26日（18点）,国产,Comedy
56,恶棍天使,4,648920000,2015年12月24日,国产,Comedy
78,澳门风云 賭城風雲,5.8,524960000,2014年1月31日,国产,Comedy
81,一步之遥,6.2,515660000,2014年12月18日,国产（合拍）,Comedy
83,滚蛋吧！肿瘤君,7.5,510720000,2015年8月13日,国产,Comedy
90,非诚勿扰2,6.5,478800000,2010年12月22日,国产（合拍）,Comedy
99,奔跑吧！兄弟,3.4,434200000,2015年1月30日,国产,Comedy
12,魔兽 Warcraft,8,1367230000,2016年6月8日,进口分账（上映中……）,Fantasy
23,奇幻森林 The Jungle Book,7.9,979150000,2016年4月15日,进口分账,Fantasy
35,霍比特人3：五军之战 The Hobbit: The Battle of the Five Armies,8.2,766810000,2015年1月23日,进口特种,Fantasy
46,画皮2 畫皮Ⅱ,5.9,703160000,2012年6月28日,国产,Fantasy
91,加勒比海盗4：惊涛怪浪 Pirates of the Caribbean: On Stranger Tides,7.5,473670000,2011年5月20日,进口分账,Fantasy
92,霍比特人2：史矛革之战 The Hobbit: The Desolation of Smaug,8.2,463430000,2014年2月21日,进口分账,Fantasy
26,泰坦尼克号3D版 Titanic 3D,9.4,947580000,2012年4月10日,进口分账,Romance
33,北京遇上西雅图之不二情书,6.6,785830000,2016年4月29日12点起,国产（上映中……）,Romance
