,word,count,,
0,Zhao Wei,99,,
1,Taiwan independence,83,,
2,Movie,75,,
3,Boycott,65,,
4,Support,30,,
5,Only one,28,,
6,Dai Liren,28,,
7,China,27,,
8,We,24,,
9,Won’t,24,,
10,Taiwan independence supporter,23,,
11,Japan,19,,
12,Looking forward to,19,,
13,Country,18,,
14,Trash,18,,
15,Director,17,,
16,Artist,17,,
17,Actor,15,,
18,Smile,15,,
19,Resolute,14,,
20,Insulting China,14,,
21,What,13,,
22,Everybody,13,,
23,Won’t watch,13,,
24,Like,12,,
25,Work,12,,
26,This movie,12,,
27,Release,12,,
28,Know,11,,
29,Can,11,,
30,Bad review,11,,
31,Mainland,11,,
32,Anti-China,11,,
33,Calm,11,,
