,haizi_word,haizi_count,beidao_word,beidao_count
0,我们,43,我们,131
1,天空,40,没有,80
2,一个,36,一个,64
3,自己,34,天空,42
4,太阳,34,太阳,37
5,一只,27,影子,35
6,村庄,27,一只,35
7,美丽,22,无题,34
8,就是,20,死亡,33
9,世界,20,冬天,31
10,只有,19,孩子,31
11,没有,19,星星,31
12,幸福,18,之间,30
13,黑夜,18,穿过,29
14,死亡,17,那些,29
15,故乡,16,眼睛,28
16,嘴唇,16,一起,28
17,今夜,16,黑暗,27
18,秋天,16,世界,26
19,一样,16,人们,26
20,麦地,16,石头,25
21,黎明,15,时间,24
22,远方,14,他们,24
23,最后,14,早晨,24
24,月亮,14,留下,24
25,阳光,14,走向,23
26,夜晚,14,黎明,22
27,少女,13,道路,22
28,诗人,13,变成,22
29,一切,13,明天,21
30,诞生,13,历史,21
31,地上,13,自己,21
32,母亲,13,一切,20
33,大地,12,阳光,20
34,草原,12,窗户,20
35,不能,12,声音,20
36,一片,12,什么,20
37,今天,12,打开,20
38,为了,11,一种,19
39,你们,11,所有,19
40,这个,11,语言,18
41,月光,11,不是,18
42,这是,11,记忆,18
43,曙光,11,玻璃,18
44,女儿,11,时刻,17
45,荒凉,11,不再,17
46,献给,11,月亮,17
47,太平洋,11,风暴,17
48,麦子,11,自由,17
49,所有,10,有人,17
50,岩石,10,永远,17
51,痛苦,10,回声,17
52,粮食,10,大地,16
53,孤独,10,为了,16
54,泪水,10,日子,16
55,海水,10,黄昏,16
56,儿子,10,寻找,16
57,雨雪,9,等待,16
58,四姐妹,9,故事,16
59,召唤,9,昨天,15
60,声音,9,灯光,15
61,雨水,9,沿着,15
62,生命,9,一颗,15
63,父亲,9,开始,15
64,以梦为,9,它们,15
65,死去,9,这里,15
66,亚洲,9,只有,15
67,地方,9,叫喊,14
68,不远,9,火焰,14
69,人们,9,来自,14
70,一次,9,山谷,14
71,野花,9,夜晚,14
72,夜里,8,生活,14
73,一棵,8,最后,14
74,河流,8,沉默,14
75,埋葬,8,孤独,14
76,春天,8,突然,14
77,隐隐约约,8,大海,14
78,黑暗,8,于是,13
79,1988,8,升起,13
80,身体,8,绿色,13
81,妻子,8,城市,13
82,出现,8,歌声,13
83,平常人,8,方向,13
84,天堂,8,爱情,12
85,变成,8,目光,12
86,中心,8,闪电,12
87,那些,8,最初,12
88,劳动,8,生长,12
89,大海,8,以外,12
90,坐在,8,秋天,12
91,陌生人,7,古老,12
92,明天,7,地平线,12
93,这么,7,坐在,12
94,兄弟,7,醒来,12
95,光明,7,镜子,12
96,海子,7,仅仅,12
97,风吹,7,敲响,12
98,一种,7,成为,12
99,肉体,7,照亮,12
